Min-Joon,Automatic Musical Fountain Scenario Generation Using Musical Information Analysis,"['Yoo, Min-Joon', ' Lee, In-Kwon']"
In-Kwon,Automatic Musical Fountain Scenario Generation Using Musical Information Analysis,"['Yoo, Min-Joon', ' Lee, In-Kwon']"
Tomohisa,ScoreIlluminator: Automatic Illumination of Orchestra Scores for Readability Improvement,"['Matsubara, Masaki', ' Okamoto, Hiroyuki', ' Sano, Tomohisa', ' Susuki, Hiroya', ' Nobesawa, Shiho Hoshi', ' Saito, Hiroaki']"
Sever,SoundMaker: a Web-Based Teaching Tool for Sound Design,"['Cavis, Ryan', ' Tipei, Sever', ' Kindratenko, Volodymyr']"
Zhiye,Not Just Prettier: FMS Marches On,"['Park, Tae Hong', ' Li, Zhiye']"
Diemo,Corpus-Based Transcription as an Approach to the Compositional Control of Timbre,"['Einbond, Aaron', ' Schwarz, Diemo', ' Bresson, Jean']"
Otthein,Music Analysis and Spectral Modeling Based on Cubic B-Splines,"['M\xc3\xb6hlmann, Daniel', ' Herzog, Otthein', ' Wagner, Thomas']"
Suk-Jun,Imaginal Listening and Phenomena of Sound-Images in Electroacoustic Music,"['Kim, Suk-Jun']"
Diemo,MuBu and Friends – Assembling Tools for Content Based Real-Time Interactive Audio Processing in Max/MSP,"['Schnell, Norbert', ' R\xc3\xb6bel, Axel', ' Schwarz, Diemo', ' Peeters, Geoffroy', ' Borghesi, Riccardo']"
Lonce,Bridges for Networked Musical Ensembles,"['Wyse, Lonce', ' Mitani, Norikazu']"
Kaïs,The Pre-Production Process of New York Counterpoint for Clarinet and Tape Written by Steve Reich,"['Pras, Amandine', ' F\xc3\xa9ron, Fran\xc3\xa7ois-Xavier', ' Demers, Ka\xc3\xafs']"
Yupeng,Orchestral Accompaniment for a Reproducing Piano,"['Raphael, Christopher', ' Gu, Yupeng']"
Juan-Pablo,JackTrip: Under the Hood of an Engine for Network Audio,"['C\xc3\xa1ceres, Juan-Pablo', ' Chafe, Chris']"
Chryssie,For Jean-Claude: [re]Presenting Duet for One Pianist,"['Nanou, Chryssie', ' Hamilton, Robert']"
Shiau-uen,Rhythmic Practice in Music for Small Ensemble and Tape,"['Ding, Shiau-uen']"
António,TOWARDS BI-DIMENSIONAL CLASSIFICATION OF SYMBOLIC MUSIC BY AFFECTIVE CONTENT,"['Oliveira, Ant\xc3\xb3nio Pedro', ' Cardoso, Am\xc3\xadlcar']"
Amílcar,TOWARDS BI-DIMENSIONAL CLASSIFICATION OF SYMBOLIC MUSIC BY AFFECTIVE CONTENT,"['Oliveira, Ant\xc3\xb3nio Pedro', ' Cardoso, Am\xc3\xadlcar']"
Min-Joon,PATTERN-SPECIFIC PIANO EXERCISE RETRIEVAL,"['Yoo, Min-Joon', ' Lee, In-Kwon']"
In-Kwon,PATTERN-SPECIFIC PIANO EXERCISE RETRIEVAL,"['Yoo, Min-Joon', ' Lee, In-Kwon']"
Juan-Pablo,PLAYING THE NETWORK: THE USE OF TIME DELAYS AS MUSICAL DEVICES,"['C\xc3\xa1ceres, Juan-Pablo', ' Renaud, Alain B.']"
Gascia,THE SPATIAL POLITICS OF RADIO: ANNA FRIZ’S CRITICAL UTOPIAS,"['Ouzounian, Gascia']"
Naotoshi,CONSTRUCTION OF AN ELECTRONIC TIMBRE DICTIONARY FOR ENVIRONMENTAL SOUNDS BY TIMBRE SYMBOL,"['Kobayashi, Yohei', ' Osaka, Naotoshi']"
Jean-Julien,"VISUAL AND SOUND GENERATION DRIVEN BY BRAIN, HEART AND RESPIRATION SIGNALS","['Filatriau, Jean-Julien', ' Kessous, Loic']"
Cléo,INTERACTIVE COMPOSITION AND IMPROVISATION ON THE HYPER-FLUTE,"['Palacio-Quintin, Cl\xc3\xa9o', ' Zadel, Mark']"
Chrisoula,TOWARDS THE IMPLEMENTATION OF A GENERIC PLATFORM FOR NETWORKED MUSIC PERFORMANCE: THE DIAMOUSES APPROACH,"['Alexandraki, Chrisoula', ' Koutlemanis, Panayotis', ' Gasteratos, Petros', ' Valsamakis, Nikolas', ' Akoumianakis, Demosthenes', ' Milolidakis, Giannis']"
Luís,STUDIO REPORT: DIGITÓPIA AT CASA DA MÚSICA,"['Penha, Rui', ' Rodrigues, Paulo M.', ' Gouyon, Fabien', ' Martins, Lu\xc3\xads Gustavo', ' Guedes, Carlos', ' Barbosa, \xc3\x81lvaro']"
Chunghsin,INTRODUCING ASANNOTATION: A TOOL FOR SOUND ANALYSIS AND ANNOTATION,"['Bogaards, Niels', ' Yeh, Chunghsin', ' Burred, Juan Jos\xc3\xa9']"
Diemo,WHAT NEXT? CONTINUATION IN REAL-TIME CORPUS-BASED CONCATENATIVE SYNTHESIS,"['Schwarz, Diemo', ' Cadars, Sylvain', ' Schnell, Norbert']"
Unknown,INTEROPERABILITY AND THE MARSYAS 0.2 RUNTIME,"['Tzanetakis, George', ' Jones, Randy', ' Castillo, Unknown', ' Martins, Luis Gustavo', ' Teixeira, Luis F.', ' Lagrange, Mathieu']"
Zhiye,NOT JUST MORE FMS: TAKING IT TO THE NEXT LEVEL,"['Park, Tae Hong', ' Li, Zhiye', ' Biguenet, Jonathan']"
Iead,DRUM'N'BAYES: ON-LINE VARIATIONAL INFERENCE FOR BEAT TRACKING AND RHYTHM RECOGNITION,"['Fox, Charles', ' Rezek, Iead', ' Roberts, Stephen']"
