,AllAuthors,FirstName1stAuthor,Gender,Place,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
64,"Timmermans, Hans",Hans,male,USA,2015,1,Sound Spatialisation from a Composer’s Perspective,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,
65,"Werner, Kurt James",Kurt,male,USA,2015,1,The XQIFFT: Increasing the Accuracy of Quadratic Interpolation of Spectral Peaks via Exponential Magnitude Spectrum Weighting,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
66,"Kim, Seunghun; Wakefield, Graham; Nam, Juhan",Seunghun,male,USA,2015,3,Augmenting Room Acoustics and System Interaction for Intentional Control of Audio Feedback,ICMC,Graham,male,Juhan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
67,"Clift, Paul; Mamou-Mani, Adrien; Caussé, René",Paul,male,USA,2015,3,Extending Brass & Woodwind Instruments with Acoustic-Aggregate-Synthesis,ICMC,Adrien,male,René,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.98,0.99,,,,,,,,,,,,,,
68,"MacCallum, John; Goodheart, Matthew; Freed, Adrian",John,male,USA,2015,3,Antony: A Reimagining,ICMC,Matthew,male,Adrian,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,0.97,,,,,,,,,,,,,,
69,"Gresham-Lancaster, Scot",Scot,male,USA,2015,1,"Notes on “Culture of Fire” for Analog Neural Network Synthesizer, Geiger Muller Counters and Computer",ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
70,"Garrett, Richard",Richard,male,USA,2015,1,Audio Spray Gun 0.8 – the Generation of Large Sound-Groups and Their Use in Three-Dimensional Spatialisation,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
71,"Buongiorno Nardelli, Marco",Marco,male,USA,2015,1,materialssoundmusic: a Computer-Aided Data-Driven Composition Environment for the Sonification and Dramatization of Scientific Data Streams,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,
72,"Vickery, Lindsay",Lindsay,female,USA,2015,1,An Approach to the Generation of Real-Time Notation via Audio Analysis: The Semantics of Redaction,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,
73,"Alsop, Roger",Roger,male,USA,2015,1,"In and Out, Over and Under: An Interactive Audio-Visual Installation Responding to Percy Grainger’s Free Music and the Grainger Museum",ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
74,"Carpentier, Thibaut",Thibaut,male,USA,2015,1,ToscA: an OSC Communication Plugin for Object-Oriented Spatialization Authoring,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,
75,"Chau, Chuck-jee; Horner, Andrew",Chuck-jee,None,USA,2015,2,The Effects of Pitch and Dynamics on the Emotional Characteristics of Piano Sounds,ICMC,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,,,,,,,,,,,,,,,
76,"Santolucito, Mark; Quick, Donya; Hudak, Paul",Mark,male,USA,2015,3,Media Modules: Intermedia Systems in a Pure Functional Paradigm,ICMC,Donya,female,Paul,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
77,"Taylor, Benjamin; Allison, Jesse",Benjamin,male,USA,2015,2,"Gesture Capture, Processing, and Asynchronous Playback within Web Audio Instruments",ICMC,Jesse,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.93,,,,,,,,,,,,,,,
