Gender1Female,Place,Year,NumberOfAuthors,Conference,,Gender2,,Gender3,,Gender4,,Gender5,,Gender6,,Gender7,,Gender8,,Gender9,,Gender10,,Gender11,,Gender12,,Gender13,,Gender14,,Gender15,,Gender16,,Gender17,Gender1None,Gender2None,Gender3None,Gender4None,Gender5None,Gender6None,Gender7None,Gender8None,Gender9None,Gender10None,Gender11None,Gender12None,Gender13None,Gender14None,Gender15None,Gender16None,Gender17None,AllAuthors,FirstName1stAuthor,Title
male,USA,2015,5,ICMC,,male,,male,,male,,male,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,"ffitch, John; Lazzarini, Victor; Yi, Steven; Gogins, Michael; Cabrera, Andr_œÂ©s",John,The New Developments in Csound 6
male,Greece,2014,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Assayag, G_œÂ©rard",G_œÂ©rard,Creative Symbolic Interaction
male,Greece,2014,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Chowning, John",John,Mathewsâ€°_«_„ Diagram and Euclidâ€°_«_„s Line: Fifty Years Ago
male,Greece,2014,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Nelson, Peter",Peter,What Is Sound?
male,Greece,2014,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Risset, Jean-Claude",Jean-Claude,Sound and Music Computing Meets Philosophy
male,Greece,2014,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Roads, Curtis",Curtis,Rhythmic Processes in Electronic Music
male,Greece,2014,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Barlow, Clarence",Clarence,Chorale Synthesis by the Multidimensional Scaling of Pitches
male,Greece,2014,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Lippe, Cort",Cort,Musings on the Status of Electronic Music Today
male,Greece,2014,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Marsden, Alan",Alan,Echoes in Platoâ€°_«_„s Cave: Ontology of Sound Objects in Computer Music and Analysis
male,Greece,2014,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Di Scipio, Agostino",Agostino,"The place and meaning of computing in a sound relationship of man, machines, and environment"
male,Greece,2014,1,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,"Solomos, Makis",Makis,Xenakisâ€°_«_„s Philosophy of Technology Through Some Interviews
