,AllAuthors,FirstName1stAuthor,Gender,Place,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
77,Chuck-jee Chau; Andrew Horner,Chuck-jee,None,Netherlands,2016,2,401 The Emotional Characteristics of Mallet Percussion Instruments with Different Pitches  and Mallet Hardness,ICMC,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,,,,,,,,,,,,,,,
78,Samuel J. M. Gilburt; Chuck-jee Chau; Andrew Horner,Samuel,male,Netherlands,2016,3,405 The Effects of Pitch and Dynamics on the Emotional Characteristics of Bowed String Instruments,ICMC,Chuck-jee,None,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,None,1.0,,,,,,,,,,,,,,
79,Ronald Mo; Ga Lam Choi; Chung Lee; Andrew Horner,Ronald,male,Netherlands,2016,4,411 The Effects of MP3 Compression on Emotional Characteristics,ICMC,Ga,female,Chung,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.85,0.79,1.0,,,,,,,,,,,,,
80,Sever Tipei,Sever,None,Netherlands,2016,1,417 Composition as an Evolving Entity,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,
81,Bret Battey,Bret,male,Netherlands,2016,1,422 Nodewebba: Software for Composing with Networked Iterated Maps,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,
82,Neal Andersen; Benjamin D. Smith,Neal,male,Netherlands,2016,2,426 Relative Sound Localization for Sources in a Haphazard Speaker Array,ICMC,Benjamin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
83,Steven Leffue; Grady Kestler,Steven,male,Netherlands,2016,2,430 AIIS: An Intelligent Improvisational System,ICMC,Grady,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.74,,,,,,,,,,,,,,,
84,Sean Peuquet; David Jones,Sean,male,Netherlands,2016,2,434 RackFX: A Cloud-Based Solution for Analog Signal Processing,ICMC,David,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
85,Kristina Warren,Kristina,female,Netherlands,2016,1,438 Composing and Performing Digital Voice Using Microphone-Centric Gesture and Control Data,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
86,Otso Lähdeoja,Otso,male,Netherlands,2016,1,442 Composing for an Orchestra of Sonic Objects: The Shake-ousmonium Project,ICMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
87,Axel Berndt; Simon Waloschek; Aristotelis Hadjakos,Axel,male,Netherlands,2016,3,448 Hand Gestures in Music Production,ICMC,Simon,male,Aristotelis,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,1.0,,,,,,,,,,,,,,
88,Hugo Scurto; Rebecca Fiebrink,Hugo,male,Netherlands,2016,2,454 Grab-and-play mapping: Creative machine learning approaches for musical inclusion and exploration,ICMC,Rebecca,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
89,Charles Bascou; Valentin Emiya; Mathieu Lauriere,Charles,male,Netherlands,2016,3,460 The problem of musical gesture continuation and a baseline system,ICMC,Valentin,male,Mathieu,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
90,Laurens van der Wee; Roel van Doorn; Jos Zwaanenburg,Laurens,male,Netherlands,2016,3,466 Anthèmes 2: addressing the performability of live-electronic music,ICMC,Roel,male,Jos,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.85,,,,,,,,,,,,,,
